type,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,price
0,1.8,140,101.2,67.3,172.4,2.639,13.2,28,21.5
0,3.2,225,108.1,70.3,192.9,3.517,17.2,25,28.4
0,3.5,210,114.6,71.4,196.6,3.85,18,22,42
0,1.8,150,102.6,68.2,178,2.998,16.4,27,23.99
0,2.8,200,108.7,76.1,192,3.561,18.5,22,33.95
0,4.2,310,113,74,198.2,3.902,23.7,21,62
0,2.5,170,107.3,68.4,176,3.179,16.6,26.1,26.99
0,2.8,193,107.3,68.5,176,3.197,16.6,24,33.4
0,2.8,193,111.4,70.9,188,3.472,18.5,24.8,38.9
0,3.1,175,109,72.7,194.6,3.368,17.5,25,21.975
0,3.8,240,109,72.7,196.2,3.543,17.5,23,25.3
0,3.8,205,112.2,73.5,200,3.591,17.5,25,27.885
0,3.8,205,113.8,74.7,206.8,3.778,18.5,24,31.965
0,3,200,107.4,70.3,194.8,3.77,18,22,31.01
0,4.6,275,108,75.5,200.6,3.843,19,22,39.665
0,4.6,275,115.3,74.5,207.2,3.978,18.5,22,39.895
1,5.7,255,117.5,77,201.2,5.572,30,15,46.225
0,1,55,93.1,62.6,149.4,1.895,10.3,45,9.235
0,1.8,120,97.1,66.7,174.3,2.398,13.2,33,13.96
0,2.2,115,104.1,67.9,180.9,2.676,14.3,27,13.26
0,3.1,170,107,69.4,190.4,3.051,15,25,16.535
0,5.7,345,104.5,73.6,179.7,3.21,19.1,22,45.705
0,3.1,175,107.5,72.5,200.9,3.33,16.6,25,18.89
0,3.4,180,110.5,72.7,197.9,3.34,17,27,19.39
0,3.4,180,110.5,73,200,3.389,17,27,18.89
0,3.8,200,101.1,74.1,193.2,3.5,16.8,25,24.34
0,2,132,108,71,186,2.911,16,27,16.48
0,2.5,163,103.7,69.7,190.9,2.967,15.9,24,19.84
0,2.5,168,106,69.2,193,3.332,16,24,24.495
0,2.7,200,113,74.4,209.1,3.452,17,26,22.245
0,3.5,253,113,74.4,207.7,3.564,17,23,28.34
0,3.5,253,113,74.4,197.8,3.567,17,23,29.185
0,2,132,105,74.4,174.4,2.567,12.5,29,12.64
0,2.5,163,103.7,69.1,190.2,2.879,15.9,24,19.045
0,2.5,168,108,71,186,3.058,16,24,20.23
0,8,450,96.2,75.7,176.7,3.375,19,16,69.725
1,2.4,150,113.3,76.8,186.3,3.533,20,24,19.565
1,2.5,120,131,71.5,215,3.557,22,19,16.98
1,3.9,175,109.6,78.8,192.6,4.245,32,15,21.315
1,3.9,175,127.2,78.8,208.5,4.298,32,16,18.575
1,5.2,230,115.7,71.7,193.5,4.394,25,17,26.31
1,5.2,230,138.7,79.3,224.2,4.47,26,17,19.46
0,2,110,98.4,67,174.7,2.468,12.7,30,12.07
0,2,107,103,66.9,174.8,2.564,13.2,30,12.315
0,2.5,170,106.5,69.1,184.6,2.769,15,25,17.035
1,2.5,119,117.5,69.4,200.7,3.086,20,23,12.05
0,3.8,190,101.3,73.1,183.2,3.203,15.7,24,21.56
0,3,155,108.5,73,197.6,3.368,16,24,17.885
1,3,150,120.7,76.6,200.9,3.761,26,21,21.41
1,4,210,111.6,70.2,190.7,3.876,21,19,31.93
0,4.6,200,114.7,78.2,212,3.908,19,21,22.195
1,4.6,220,138.5,79.1,224.5,4.241,25.1,18,26.935
1,4.6,240,119,78.7,204.6,4.808,26,16,36.135
0,1.6,106,103.2,67.1,175.1,2.339,11.9,32,12.885
0,2.3,135,106.9,70.3,188.8,2.932,17.1,27,15.35
1,2,146,103.2,68.9,177.6,3.219,15.3,24,20.55
1,3.2,205,106.4,70.4,178.2,3.857,21.1,19,26.6
1,3.5,210,118.1,75.6,201.2,4.288,20,23,26
0,1.5,92,96.1,65.7,166.7,2.24,11.9,31,9.699
0,2,140,100.4,66.9,174,2.626,14.5,27,11.799
0,2.4,148,106.3,71.6,185.4,3.072,17.2,25,14.999
0,3,227,108.3,70.2,193.7,3.342,18.5,25,29.465
0,3,240,114.5,71.6,191.3,3.65,18.4,21,42.8
1,2.5,120,93.4,66.7,152,3.045,19,17,14.46
1,4,190,101.4,69.4,167.5,3.194,20,20,21.62
1,4,195,105.9,72.3,181.5,3.88,20.5,19,26.895
0,3,210,105.1,70.5,190.2,3.373,18.5,23,31.505
0,3,225,110.2,70.9,189.2,3.638,19.8,23,37.805
0,4,300,110.2,70.9,189.2,3.693,19.8,21,46.305
0,4,290,112.2,72,196.7,3.89,22.5,22,54.005
1,3,220,103,71.5,180.1,3.9,17.2,21,34.605
1,4.7,230,112.2,76.4,192.5,5.401,25.4,15,60.105
0,4.6,275,109,73.6,208.5,3.868,20,22,39.08
0,4.6,215,117.7,78.2,215.3,4.121,19,21,43.33
1,5.4,300,119,79.9,204.8,5.393,30,15,42.66
0,2.3,185,94.5,67.5,157.3,2.975,14,27,41
0,2.3,190,94.5,67.5,157.9,3.055,15.9,26,38.9
0,3.2,215,105.9,67.8,180.3,3.213,16.4,26,41.6
0,2.3,185,105.9,67.7,177.4,3.25,16.4,26,31.75
0,3.2,221,111.5,70.8,189.4,3.823,21.1,25,49.9
0,5,302,113.6,73.1,196.6,4.115,23.2,20,85.5
0,5,302,99,71.3,177.1,4.125,21.1,20,82.6
0,4.3,275,121.5,73.1,203.1,4.133,23.2,21,69.7
1,3.2,215,111,72.2,180.6,4.387,19,20,35.3
0,2,125,106.5,69.1,184.8,2.769,15,28,16.24
0,2,125,106.4,69.6,185,2.892,16,30,16.54
0,3,153,108.5,73,199.7,3.379,16,24,19.035
1,4,210,111.6,70.2,190.1,3.876,21,18,27.56
1,3.3,170,112.2,74.9,194.7,3.944,20,21,22.51
0,4.6,200,114.7,78.2,212,3.958,19,21,22.605
0,1.8,113,98.4,66.5,173.6,2.25,13.2,30,13.987
0,2.4,154,100.8,68.9,175.4,2.91,15.9,24,19.047
0,2.4,145,103.7,68.5,187.8,2.945,16.3,25,17.357
0,3,161,97.2,72.4,180.3,3.131,19.8,21,25.45
0,3.5,210,107.1,70.3,194.1,3.443,19,22,24.997
1,3,173,107.3,66.7,178.3,3.51,19.5,20,22.527
1,3.5,200,107.3,69.9,186.6,4.52,24.3,18,31.807
0,1.8,126,99.8,67.3,177.5,2.593,13.2,30,13.499
0,2.4,155,103.1,69.1,183.5,3.012,15.9,25,20.39
1,3.3,170,116.1,66.5,196.1,3.217,19.4,18,17.89
0,3,222,108.3,70.3,190.5,3.294,18.5,25,26.249
1,3.3,170,104.3,70.4,178,3.821,19.4,18,22.799
1,3.3,170,106.3,71.7,182.6,3.947,21,19,29.299
1,3.3,170,112.2,74.9,194.8,3.991,20,21,26.399
0,2.4,150,107,70.1,186.7,2.958,15,27,18.27
0,3.1,150,107,69.4,192,3.102,15.2,25,18.145
1,3.4,185,120,72.2,201.4,3.948,25,22,25.345
0,4,250,113.8,74.4,205.4,3.967,18.5,22,36.229
1,4.3,190,107,67.8,181.2,4.068,17.5,19,31.598
0,2,132,105,74.4,174.4,2.559,12.5,29,12.64
0,3.5,253,113.3,76.3,165.4,2.85,12,21,43
0,2,132,108,71,186.3,2.942,16,27,16.08
1,2.4,150,113.3,76.8,186.3,3.528,20,24,18.85
0,2.4,150,104.1,68.4,181.9,2.906,15,27,21.61
0,3.4,175,107,70.4,186.3,3.091,15.2,25,19.72
0,3.8,195,110.5,72.7,196.5,3.396,18,25,21.665
0,3.8,200,101.1,74.5,193.4,3.492,16.8,25,25.31
0,3.8,205,112.2,72.6,202.5,3.59,17.5,24,23.755
1,3.4,185,120,72.7,201.3,3.942,25,23,25.635
0,2.7,217,95.2,70.1,171,2.778,17,22,41.43
0,3.4,300,92.6,69.5,174.5,3.032,17,21,71.02
0,3.4,300,92.6,69.5,174.5,3.075,17,23,74.97
0,2,185,102.6,67.4,182.2,2.99,16.9,23,26.1
0,2.3,170,106.4,70.6,189.2,3.28,18.5,23,33.12
0,1.9,100,102.4,66.4,176.9,2.332,12.1,33,10.685
0,1.9,100,102.4,66.4,180,2.367,12.1,33,12.535
0,1.9,124,102.4,66.4,176.9,2.452,12.1,31,14.29
0,2.2,137,106.5,69,190.4,2.91,13.1,28,15.01
0,2.2,137,106.5,69,190.4,3.075,13.1,27,18.835
1,2.5,165,99.4,68.3,175.2,3.125,15.9,24,20.095
0,2.5,165,103.5,67.5,185.8,3.415,16.9,25,22.695
0,1.8,120,97,66.7,174,2.42,13.2,33,13.108
0,1.8,140,102.4,68.3,170.5,2.425,14.5,31,16.875
1,2.4,142,103.3,66.5,178.7,2.58,15.1,23,11.528
1,2,127,94.9,66.7,163.8,2.668,15.3,27,16.888
0,2.2,133,105.2,70.1,188.5,2.998,18.5,27,17.518
0,3,210,107.1,71.7,191.9,3.417,18.5,26,25.545
1,2.7,150,105.3,66.5,183.3,3.44,18.5,23,22.288
1,3,194,114.2,73.4,193.5,3.759,20.9,22,22.368
1,4.7,230,112.2,76.4,192.5,5.115,25.4,15,51.728
0,2,115,98.9,68.3,163.3,2.762,14.6,26,17.5
0,2,115,98.9,68.3,163.3,2.767,14.5,26,14.9
0,2,115,98.9,67.9,161.1,2.769,14.5,26,15.9
0,2,115,98.9,68.3,172.3,2.853,14.5,26,16.7
0,1.8,150,106.4,68.5,184.1,3.043,16.4,27,21.2
0,2,115,97.4,66.7,160.4,3.079,13.7,26,19.99
0,1.9,160,100.5,67.6,176.6,2.998,15.8,25,23.4
0,1.9,160,100.5,67.6,176.6,3.042,15.8,25,24.4
0,2.4,168,104.9,69.3,185.9,3.208,17.9,25,27.5
0,2.4,168,104.9,69.3,186.2,3.259,17.9,25,28.8
0,2.9,201,109.9,72.1,189.8,3.6,21.1,24,36
0,2.3,236,104.9,71.5,185.7,3.601,18.5,23,45.5
